품종명,에너지_레벨,훈련_용이성,보호_본능,털_빠짐,짖음_빈도,장난기,그루밍_필요성,침_흘림,털_길이,타견_친화력,낯선사람_친화력,최소_수명,최대_수명,최소_체고_수컷,최대_체고_수컷,최소_체고_암컷,최대_체고_암컷,최소_체중_수컷,최대_체중_수컷,최소_체중_암컷,최대_체중_암컷,기대_수명,설명,기질,색상,크기_분류,견종_그룹,역할,털_유형,아이_친화력,아파트_적합성,초보_적합성,사냥_본능,운동량,더위_내성,추위_내성
콜리,4,4,3,4,3,4,4,2,4,4,4,12,14,24.0,26.0,22.0,24.0,60.0,75.0,50.0,65.0,4,우아한 스코틀랜드 목동; 민감하고 충성스러우며 친절한 훈련에 반응합니다.,"헌신적이고, 지적이고, 온화하고, 경계심이 강하다","세이블 앤 화이트, 삼색, 블루멀, 화이트",대형,목양견,양치기와 몰이꾼,"거칠거나 매끄러움; 거친 털은 긴 털이 풍부하고, 부드러운 털은 촘촘한 짧은 털을 가지고 있습니다",5.0,3.0,4.0,2.0,3.0,3.0,4.0
달마시안,5,4,3,4,3,4,2,2,2,3,3,11,13,21.0,24.0,19.0,23.0,55.0,70.0,45.0,60.0,3,반점으로 유명한 오래 지속되는 마차 개; 운동능력이 뛰어나고 기민하며 운동을 통해 잘 성장합니다.,"외향적, 똑똑함, 활동적, 충성심",검은색 또는 적갈색 반점이 있는 흰색,중형,비조렵견,"사냥개, 반려견, 마차견",짧고 윤기나며 단단하고 촘촘한 털에 뚜렷한 검은색 또는 적갈색 반점이 있습니다,4.0,2.0,3.0,4.0,5.0,3.0,2.0
더치 셰퍼드,5,5,4,4,3,4,3,2,3,3,3,11,14,22.0,25.0,21.0,24.0,60.0,75.0,50.0,65.0,3,다재다능한 목동견이자 보호견입니다. 추진력이 뛰어나고 훈련에 탁월합니다.,"지능적, 충성심, 조심성, 운동능력","금색이나 은색의 얼룩, 짧고/긴/거친 털",대형,목양견,양 떼와 재산을 방목하고 보호하는 것,짧거나 길거나 와이어 형태의 품종; 짧은 머리 단단하고 털이 많은 속털로 몸에 꼭 맞음,3.0,2.0,2.0,3.0,5.0,3.0,4.0
저먼 핀셔,4,4,4,2,3,4,2,2,1,1,2,12,14,17.0,20.0,17.0,20.0,25.0,45.0,25.0,40.0,4,중간 작업 핀셔; 예민한 마음과 확고한 충성심을 지닌 민첩한 감시견.,"기민함, 활발함, 지능적, 자신감","검정색과 황갈색, 빨간색, 엷은 황갈색, 파란색",중형,작업견,"감시견, 동반자이자 다재다능한 농장 래터",짧고 매끄러우며 광택이 있는 밀착된 누운 털,4.0,3.0,2.0,4.0,4.0,4.0,2.0
저먼 스피츠,4,4,3,2,3,4,3,2,2,3,4,13,15,16.0,19.0,15.0,18.0,35.0,50.0,28.0,40.0,4,대형 독일 스피츠 품종; 푹신한 털과 생기 넘치는 성격을 지닌 보컬 감시견.,"주의가 깊고, 충성스럽고, 활기차고, 자신감이 넘칩니다.","블랙, 화이트, 크림, 세이블, 오렌지",중형,비조렵견,감시견과 반려견,길고 곧은 스탠드오프 외부 털과 짧고 두꺼운 속털이 있는 이중 털,4.0,2.0,4.0,1.0,3.0,3.0,4.0
글렌 오브 이말 테리어,3,3,3,2,3,4,2,2,2,3,3,12,15,12.0,14.0,12.0,14.0,32.0,40.0,28.0,36.0,4,낮고 튼튼한 땅개; 많은 테리어보다 차분한 집안 태도를 가진 사냥감 사냥꾼입니다.,"활기차고, 인내심이 강하고, 충성스럽고, 용감합니다.","밀, 파란색, 얼룩",소형,테리어,해충 방제 및 지하 작업을 위한 작업 테리어,중간 길이의 거친 겉털과 부드러운 속털,4.0,4.0,3.0,4.0,3.0,3.0,3.0
스피츠,4,4,3,2,3,3,3,2,2,3,4,12,14,12.0,15.0,11.0,14.0,11.0,20.0,10.0,17.0,4,푹신한 흰색 동반자 스피츠; 가족과 함께 시간을 보내고 싶어하는 명랑한 감시견.,활기차고 애정이 넘치며 기민하고 지능적입니다.,순백의,소형,비조렵견,반려견,짧고 부드럽고 촘촘한 언더코트가 풍부한 긴 스트레이트 스탠드오프 코트,4.0,4.0,4.0,1.0,3.0,2.0,4.0
토이 폭스 테리어,4,4,2,2,3,4,2,1,2,3,3,13,15,8.5,11.5,8.5,11.5,3.5,7.0,3.5,7.0,4,"폭스 테리어로부터 자란 운동능력이 좋은 작은 아메리칸 테리어; 날카롭고, 재미있으며, 사람들과 강하게 유대감을 형성합니다.","지능적, 기민함, 우호적, 충성심, 활기차고 장난기 많음","삼색, 화이트 초콜릿과 황갈색, 흰색과 황갈색, 흰색과 검정색",토이,토이견,래터와 반려견,샤이니 새틴 질감의 부드러운 코트,4.0,5.0,4.0,4.0,3.0,3.0,2.0
블랙 래브라도 리트리버,5,5,3,4,3,5,2,2,2,5,4,10,12,22.5,24.5,21.5,23.5,65.0,80.0,55.0,70.0,3,물 속에서 회수할 수 있도록 사육된 친근한 사냥개; 운동 능력이 뛰어나고 사람 중심적이며 기쁘게 하려고 노력합니다.,"외향적, 열정적, 입찰 가능, 온화함","검정색, 노란색, 초콜릿",대형,조렵견,리트리버,"이중, 짧은",5.0,3.0,5.0,3.0,5.0,3.0,4.0
셰퍼드,5,5,5,5,3,4,3,2,3,3,3,9,13,24.0,26.0,22.0,24.0,65.0,90.0,50.0,70.0,3,지능과 용기로 유명한 다재다능한 목양견이자 보호견입니다. 꾸준한 훈련으로 업무에 탁월하다.,"자신감 있고, 충성스럽고, 주의가 깊고, 근면합니다.","블랙 앤 황갈색, 세이블, 블랙, 바이컬러",대형,목양견,방목과 유틸리티,"더블, 미디엄",4.0,2.0,2.0,4.0,5.0,3.0,4.0
믹스견,3,3,3,4,3,3,2,2,2,5,4,10,12,22.5,24.5,21.5,23.5,65.0,80.0,55.0,70.0,3,물 속에서 회수할 수 있도록 사육된 친근한 사냥개; 운동 능력이 뛰어나고 사람 중심적이며 기쁘게 하려고 노력합니다.,"외향적, 열성적, 입찰 가능, 온화함","검정색, 노란색, 초콜릿",대형,조렵견,리트리버,"이중, 짧은",5.0,3.0,5.0,3.0,5.0,3.0,4.0
