아이디,이름,나이(월),품종,성별,색상1,색상2,색상3,크기,털길이,예방접종,구충여부,중성화,지역,건강 상태,사회도,친화도,활동성,상세설명
12c4ed873,순둥,2,푸들,수컷,갈색,없음,없음,소형,중모,미완료,완료,미완료,경기,3,3,4,5,순둥은(는) 정말 사랑스러운 푸들 친구예요. 갈색 털이 매력 포인트이며 누구와도 잘 지내요.
351f3746c,펭귄,24,비글,암컷,검정,갈색,흰색,중형,단모,불확실,불확실,미완료,전남,4,5,4,4,활동량이 풍부한 펭귄이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 비글 친구입니다.
f867cc417,피글렛,2,믹스견,수컷,검정,노란색,흰색,중형,중모,미완료,완료,미완료,경기,4,3,5,5,구조 후 잘 적응 중인 피글렛! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
cb41cd1c5,루피,2,믹스견,수컷,검정,없음,없음,중형,단모,미완료,완료,미완료,서울,5,4,4,5,통통 튀는 걸음걸이가 매력적인 루피! 멋진 검정 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
bb8795c8d,탄이,12,슈나우저,수컷,검정,회색,흰색,중형,단모,완료,완료,완료,서울,5,4,4,4,"사람을 정말 좋아하는 탄이이에요. 검정 코트가 멋진 슈나우저으로, 순하고 맑은 눈망울을 가졌어요."
d59f3a6cc,똘똘,2,믹스견,암컷,검정,없음,없음,중형,중모,미완료,미완료,미완료,인천,4,3,4,3,"이 구역의 최고 귀염둥이 똘똘! 검정 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
586585da9,초롱,12,잉글리시 코커 스패니얼,암컷,금색,없음,없음,중형,중모,완료,완료,불확실,경기,3,5,3,4,통통 튀는 걸음걸이가 매력적인 초롱! 멋진 금색 색을 가진 잉글리시 코커 스패니얼 친구와 평생 가족이 되어주세요.
418a25e6b,사흘,24,푸들,수컷,갈색,금색,없음,소형,단모,완료,완료,완료,서울,3,4,5,3,"차분하고 순한 성격의 사흘입니다. 갈색 색상의 푸들 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
a5acfe9ed,깜빡,24,로트와일러,수컷,검정,금색,없음,대형,단모,완료,완료,완료,부산,5,4,4,3,깜빡은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 로트와일러 아이랍니다. 밝은 에너지가 넘쳐요.
ae5059b40,보들,2,테리어,수컷,크림색,없음,없음,중형,단모,미완료,완료,미완료,대구,5,5,4,4,"이 구역의 최고 귀염둥이 보들! 크림색 털을 가진 테리어 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
bd54c995a,든해,2,믹스견,수컷,갈색,흰색,없음,중형,단모,미완료,완료,미완료,울산,3,4,4,3,구조 후 잘 적응 중인 든해! 믹스견 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
8a38740d1,미니,4,시츄,암컷,검정,갈색,흰색,소형,장모,완료,완료,미완료,충북,4,3,5,5,미니은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 시츄 아이랍니다. 밝은 에너지가 넘쳐요.
0a4203544,버터,60,푸들,암컷,크림색,흰색,없음,소형,중모,불확실,불확실,완료,전남,3,4,4,5,간식을 기다릴 때 가장 진지한 버터이에요. 크림색 털의 귀여운 푸들으로 호기심이 아주 많답니다.
ed5631a9c,알밤,1,믹스견,암컷,검정,흰색,없음,중형,중모,미완료,미완료,미완료,울산,5,3,5,4,알밤은(는) 정말 사랑스러운 믹스견 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
72c626d6c,우유,14,스피츠,수컷,검정,금색,흰색,중형,중모,완료,완료,완료,경기,5,3,4,4,우유은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 스피츠 아이랍니다. 밝은 에너지가 넘쳐요.
db05d2fb1,일곱,2,믹스견,암컷,검정,갈색,없음,중형,중모,완료,완료,미완료,경기,3,5,5,5,활동량이 풍부한 일곱이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 믹스견 친구입니다.
3df923a0e,점박,5,믹스견,암컷,갈색,흰색,없음,중형,단모,미완료,미완료,미완료,전남,3,4,5,3,통통 튀는 걸음걸이가 매력적인 점박! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
de34278bc,둥실,1,믹스견,수컷,갈색,없음,없음,중형,단모,미완료,미완료,미완료,경북,5,5,4,5,처음엔 쑥스러워하지만 금방 친해지는 둥실! 갈색 털의 소중한 믹스견 천사를 만나보세요.
5ca64db1a,도날드,48,믹스견,암컷,검정,크림색,없음,중형,중모,완료,완료,완료,부산,4,3,4,5,구조 후 잘 적응 중인 도날드! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
5634cfd98,펭귄,3,믹스견,암컷,갈색,흰색,없음,소형,단모,완료,완료,미완료,서울,5,3,3,5,애교가 철철 넘치는 펭귄! 갈색 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
2cb3529bc,호떡,60,시츄,수컷,검정,흰색,없음,소형,중모,완료,완료,미완료,경기,4,3,5,4,애교가 철철 넘치는 호떡! 검정 털이 부드러운 시츄 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
eaf610cd0,은하수,12,믹스견,수컷,검정,흰색,없음,중형,중모,불확실,불확실,불확실,경남,3,3,5,4,멋진 포스를 풍기는 은하수! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
60f513e5a,알밤,2,믹스견,수컷,검정,갈색,흰색,중형,단모,미완료,완료,미완료,경기,5,3,5,5,표정은 세상 진지한 알밤! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
628f11673,연두,2,믹스견,수컷,검정,갈색,없음,중형,중모,완료,완료,미완료,제주,3,5,5,5,연두은(는) 정말 사랑스러운 믹스견 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
52a539ef3,무지개,2,믹스견,암컷,갈색,흰색,없음,중형,단모,완료,완료,불확실,경기,4,5,4,4,무지개은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
130797334,망고,4,허스키,암컷,갈색,흰색,없음,대형,단모,완료,완료,미완료,경기,5,4,5,4,망고은(는) 갈색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 허스키 아이랍니다. 밝은 에너지가 넘쳐요.
c148399c0,빵빵,4,믹스견,수컷,검정,없음,없음,중형,단모,완료,완료,미완료,서울,5,3,5,4,빵빵은(는) 정말 사랑스러운 믹스견 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
54bbc1b84,아홉,6,잭 러셀 테리어,암컷,갈색,흰색,없음,소형,단모,완료,완료,미완료,경기,3,5,4,4,처음엔 쑥스러워하지만 금방 친해지는 아홉! 갈색 털의 소중한 Jack Russell Terrier (Parson Russell Terrier) 천사를 만나보세요.
4a78b3e0b,복실,12,미니어처 핀셔,암컷,검정,노란색,없음,중형,단모,완료,완료,미완료,경남,4,5,5,4,간식을 기다릴 때 가장 진지한 복실이에요. 검정 털의 귀여운 미니어처 핀셔으로 호기심이 아주 많답니다.
8aeff9ad9,잉어,36,말티즈,수컷,흰색,없음,없음,소형,장모,완료,완료,미완료,광주,5,5,3,5,멋진 포스를 풍기는 잉어! 하지만 마음은 따뜻한 말티즈 아이랍니다. 흰색 털이 아주 부드러워요.
eb102e06d,번쩍,3,허스키,암컷,검정,갈색,흰색,중형,중모,미완료,완료,완료,광주,5,3,3,5,애교가 철철 넘치는 번쩍! 검정 털이 부드러운 허스키 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
703c9a23b,든해,3,믹스견,수컷,검정,갈색,없음,중형,중모,완료,완료,미완료,경남,4,5,5,3,애교가 철철 넘치는 든해! 검정 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
022606901,보라,3,래브라도 리트리버,수컷,검정,없음,없음,대형,단모,불확실,불확실,미완료,경기,5,3,3,4,애교가 철철 넘치는 보라! 검정 털이 부드러운 래브라도 리트리버 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
271ca0b0e,데이지,6,믹스견,암컷,검정,흰색,없음,중형,단모,불확실,불확실,불확실,제주,5,5,5,5,구조 후 잘 적응 중인 데이지! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
80bbb481b,스벤,1,믹스견,암컷,갈색,없음,없음,중형,장모,미완료,미완료,미완료,경기,3,4,3,3,"반짝이는 눈망울을 가진 스벤. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
f7b67fd7f,호두,2,믹스견,암컷,갈색,없음,없음,중형,중모,완료,완료,미완료,경기,5,5,5,3,활동량이 풍부한 호두이와 함께 산책 어떠신가요? 갈색 털을 가진 멋진 믹스견 친구입니다.
559e15485,은하수,7,슈나우저,암컷,검정,갈색,없음,중형,중모,완료,완료,미완료,세종,3,5,5,3,구조 후 잘 적응 중인 은하수! 슈나우저 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
ca9841ab1,피자,1,믹스견,암컷,검정,갈색,없음,중형,중모,미완료,미완료,미완료,경남,5,5,3,5,"이 구역의 최고 귀염둥이 피자! 검정 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
34b96cf6a,참치,4,저먼 셰퍼드,수컷,검정,갈색,없음,대형,중모,불확실,불확실,불확실,부산,3,5,3,3,참치은(는) 정말 사랑스러운 저먼 셰퍼드 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
18734d13e,파랑,48,허스키,암컷,회색,흰색,없음,대형,장모,불확실,불확실,미완료,서울,3,4,3,4,세상에서 가장 야무진 파랑이를 소개합니다. 회색 색상의 허스키이며 주사도 씩씩하게 잘 맞는 천사예요.
882021db6,점박,4,믹스견,암컷,검정,갈색,없음,중형,단모,완료,완료,미완료,부산,4,4,3,5,구조 후 잘 적응 중인 점박! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
b16852e32,코코,108,골든 리트리버,수컷,금색,없음,없음,대형,중모,완료,완료,불확실,서울,5,5,3,5,코코은(는) 금색 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 골든 리트리버 아이랍니다. 밝은 에너지가 넘쳐요.
72a2dc93b,우유,48,허스키,수컷,회색,흰색,없음,대형,장모,불확실,불확실,불확실,충북,5,4,5,5,"이 구역의 최고 귀염둥이 우유! 회색 털을 가진 허스키 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
0690278af,보리,2,믹스견,수컷,검정,갈색,없음,중형,중모,완료,완료,미완료,경기,4,5,3,4,"이 구역의 최고 귀염둥이 보리! 검정 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
00156db4a,똘똘,1,믹스견,수컷,갈색,크림색,없음,중형,단모,미완료,완료,미완료,대전,5,5,4,3,표정은 세상 진지한 똘똘! 갈색 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
550405709,뽀글,1,믹스견,암컷,갈색,흰색,없음,중형,단모,미완료,미완료,미완료,경기,4,5,5,4,구조 후 잘 적응 중인 뽀글! 믹스견 특유의 영리함과 갈색 털이 돋보입니다. 가족을 기다려요.
7c6cc4bba,룽지,36,저먼 셰퍼드,수컷,검정,금색,흰색,대형,중모,불확실,불확실,불확실,울산,5,3,4,3,처음엔 쑥스러워하지만 금방 친해지는 룽지! 검정 털의 소중한 저먼 셰퍼드 천사를 만나보세요.
f246cb734,복동,2,믹스견,수컷,검정,갈색,없음,중형,중모,미완료,미완료,미완료,충북,4,3,5,3,간식을 기다릴 때 가장 진지한 복동이에요. 검정 털의 귀여운 믹스견으로 호기심이 아주 많답니다.
547c7bf41,지니,2,믹스견,암컷,흰색,없음,없음,중형,중모,미완료,미완료,미완료,서울,5,3,3,5,활동량이 풍부한 지니이와 함께 산책 어떠신가요? 흰색 털을 가진 멋진 믹스견 친구입니다.
e42a8863f,수박,2,믹스견,수컷,검정,갈색,흰색,중형,단모,불확실,불확실,미완료,경북,4,3,4,5,활동량이 풍부한 수박이와 함께 산책 어떠신가요? 검정 털을 가진 멋진 믹스견 친구입니다.
f57efd0b9,이요르,2,믹스견,암컷,갈색,없음,없음,중형,중모,미완료,완료,미완료,경기,4,3,3,4,"이 구역의 최고 귀염둥이 이요르! 갈색 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
80fcb8392,잉어,2,믹스견,암컷,검정,회색,흰색,중형,중모,완료,완료,미완료,인천,5,4,3,3,표정은 세상 진지한 잉어! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
af2ec000a,미니,1,믹스견,수컷,검정,크림색,없음,중형,단모,미완료,미완료,미완료,경기,4,4,3,4,처음엔 쑥스러워하지만 금방 친해지는 미니! 검정 털의 소중한 믹스견 천사를 만나보세요.
0ab8ae91b,짬뽕,9,달마시안,암컷,검정,흰색,없음,대형,단모,불확실,불확실,완료,경기,3,4,5,5,세상에서 가장 야무진 짬뽕이를 소개합니다. 검정 색상의 달마시안이며 주사도 씩씩하게 잘 맞는 천사예요.
adbce8472,똘똘,37,달마시안,수컷,검정,흰색,없음,중형,단모,완료,완료,미완료,인천,4,3,4,3,"반짝이는 눈망울을 가진 똘똘. 검정 색상의 달마시안 아이로, 아주 영리하고 배우는 게 빠릅니다."
f95680d84,피글렛,3,믹스견,암컷,검정,갈색,없음,중형,단모,완료,완료,미완료,경기,3,4,5,3,표정은 세상 진지한 피글렛! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
db3fce97e,자두,2,믹스견,암컷,크림색,없음,없음,중형,단모,미완료,미완료,미완료,전남,5,5,4,3,활동량이 풍부한 자두이와 함께 산책 어떠신가요? 크림색 털을 가진 멋진 믹스견 친구입니다.
435f419f9,옥수수,3,믹스견,암컷,검정,갈색,없음,중형,중모,미완료,완료,미완료,부산,4,3,5,3,"사람을 정말 좋아하는 옥수수이에요. 검정 코트가 멋진 믹스견으로, 순하고 맑은 눈망울을 가졌어요."
48553ec94,푸푸,12,믹스견,암컷,검정,흰색,없음,중형,단모,완료,완료,완료,경기,4,3,5,5,처음엔 쑥스러워하지만 금방 친해지는 푸푸! 검정 털의 소중한 믹스견 천사를 만나보세요.
fc9cf8b8d,흰둥,3,달마시안,수컷,검정,갈색,흰색,중형,단모,완료,완료,불확실,부산,4,3,3,5,"이 구역의 최고 귀염둥이 흰둥! 검정 털을 가진 달마시안 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
2962fc103,별하,18,푸들,수컷,흰색,없음,없음,소형,중모,불확실,불확실,불확실,충남,4,3,3,4,활동량이 풍부한 별하이와 함께 산책 어떠신가요? 흰색 털을 가진 멋진 푸들 친구입니다.
4d6350e54,나나,1,믹스견,수컷,갈색,크림색,없음,중형,단모,미완료,미완료,미완료,대구,4,5,3,3,나나은(는) 정말 사랑스러운 믹스견 친구예요. 갈색 털이 매력 포인트이며 누구와도 잘 지내요.
85ed50b25,피글렛,7,믹스견,암컷,검정,금색,없음,중형,단모,불확실,불확실,완료,광주,5,3,3,4,세상에서 가장 야무진 피글렛이를 소개합니다. 검정 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
96b7978d2,쌩쌩,1,믹스견,암컷,갈색,흰색,없음,대형,단모,미완료,미완료,미완료,전북,4,3,5,4,멋진 포스를 풍기는 쌩쌩! 하지만 마음은 따뜻한 믹스견 아이랍니다. 갈색 털이 아주 부드러워요.
4c31c7db9,데이지,8,실키 테리어,암컷,회색,없음,없음,중형,장모,완료,완료,미완료,경기,5,5,4,4,통통 튀는 걸음걸이가 매력적인 데이지! 멋진 회색 색을 가진 Silky Terrier 친구와 평생 가족이 되어주세요.
1bb6183eb,번쩍,2,푸들,암컷,갈색,없음,없음,소형,단모,미완료,미완료,미완료,경기,4,4,4,5,활동량이 풍부한 번쩍이와 함께 산책 어떠신가요? 갈색 털을 가진 멋진 푸들 친구입니다.
4450385b4,똘이,2,달마시안,수컷,검정,흰색,없음,대형,단모,완료,완료,미완료,경기,3,3,5,4,처음엔 쑥스러워하지만 금방 친해지는 똘이! 검정 털의 소중한 달마시안 천사를 만나보세요.
2a3796cbd,붕어,60,푸들,암컷,갈색,없음,없음,소형,단모,완료,완료,완료,서울,5,3,3,3,통통 튀는 걸음걸이가 매력적인 붕어! 멋진 갈색 색을 가진 푸들 친구와 평생 가족이 되어주세요.
10711bb95,바둑,36,테리어,암컷,검정,회색,흰색,소형,장모,완료,완료,완료,인천,5,5,4,4,바둑은(는) 정말 사랑스러운 테리어 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
42448336b,겨울,2,믹스견,수컷,크림색,없음,없음,중형,중모,완료,완료,미완료,경기,3,5,4,4,통통 튀는 걸음걸이가 매력적인 겨울! 멋진 크림색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
3ce528284,아롱,60,슈나우저,암컷,검정,흰색,없음,소형,중모,완료,완료,미완료,충남,5,5,5,5,세상에서 가장 야무진 아롱이를 소개합니다. 검정 색상의 슈나우저이며 주사도 씩씩하게 잘 맞는 천사예요.
72c38b9ab,바둑,4,믹스견,수컷,검정,갈색,없음,중형,단모,미완료,미완료,미완료,경기,3,5,3,3,바둑은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
6ad1d75b2,망치,3,믹스견,수컷,갈색,없음,없음,중형,중모,불확실,불확실,불확실,대전,3,3,5,5,"반짝이는 눈망울을 가진 망치. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
de01d00eb,데이지,24,믹스견,암컷,갈색,크림색,없음,소형,중모,불확실,불확실,불확실,충남,3,3,4,3,"반짝이는 눈망울을 가진 데이지. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
9b8805c58,카이,36,비글,수컷,검정,갈색,크림색,중형,중모,불확실,완료,불확실,경남,5,5,4,5,표정은 세상 진지한 카이! 검정 털이 매력적인 비글 친구예요. 호기심도 많고 아주 씩씩하답니다.
181c10e45,예쁜,2,믹스견,수컷,크림색,없음,없음,중형,단모,미완료,미완료,미완료,전북,3,4,5,5,표정은 세상 진지한 예쁜! 크림색 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
3cc6c4102,참외,2,믹스견,암컷,검정,갈색,없음,소형,단모,완료,완료,미완료,광주,5,5,5,3,표정은 세상 진지한 참외! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
cbe4be41b,치타,12,시츄,수컷,흰색,없음,없음,소형,중모,불확실,불확실,불확실,서울,4,5,3,4,세상에서 가장 야무진 치타이를 소개합니다. 흰색 색상의 시츄이며 주사도 씩씩하게 잘 맞는 천사예요.
8dea6d23b,반짝,3,믹스견,암컷,갈색,없음,없음,중형,중모,완료,완료,미완료,경남,4,5,3,3,처음엔 쑥스러워하지만 금방 친해지는 반짝! 갈색 털의 소중한 믹스견 천사를 만나보세요.
cc8459867,참치,2,믹스견,수컷,검정,갈색,없음,중형,단모,불확실,불확실,미완료,서울,4,5,3,3,참치은(는) 정말 사랑스러운 믹스견 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
f99af9837,호떡,1,믹스견,암컷,갈색,흰색,없음,중형,중모,미완료,완료,미완료,충남,3,3,3,3,멋진 포스를 풍기는 호떡! 하지만 마음은 따뜻한 믹스견 아이랍니다. 갈색 털이 아주 부드러워요.
870e5566b,대추,2,믹스견,수컷,갈색,흰색,없음,중형,단모,완료,완료,미완료,서울,5,3,4,3,"이 구역의 최고 귀염둥이 대추! 갈색 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
cde10c57e,치치,1,로트와일러,수컷,검정,갈색,없음,중형,중모,미완료,미완료,미완료,경기,3,5,5,3,치치은(는) 정말 사랑스러운 로트와일러 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
dc40c2612,혜성,2,믹스견,암컷,갈색,흰색,없음,중형,중모,미완료,미완료,미완료,서울,5,4,5,4,"반짝이는 눈망울을 가진 혜성. 갈색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
276f26435,꽃잎,24,보더 콜리,수컷,검정,흰색,없음,중형,장모,불확실,불확실,완료,서울,4,3,5,4,세상에서 가장 야무진 꽃잎이를 소개합니다. 검정 색상의 보더 콜리이며 주사도 씩씩하게 잘 맞는 천사예요.
eda415d15,태양,2,래브라도 리트리버,수컷,검정,없음,없음,대형,중모,불확실,완료,불확실,서울,5,4,4,3,간식을 기다릴 때 가장 진지한 태양이에요. 검정 털의 귀여운 래브라도 리트리버으로 호기심이 아주 많답니다.
841bcd63f,복동,24,골든 리트리버,암컷,금색,없음,없음,중형,중모,완료,완료,미완료,부산,4,3,4,3,"사람을 정말 좋아하는 복동이에요. 금색 코트가 멋진 골든 리트리버으로, 순하고 맑은 눈망울을 가졌어요."
acca0b2ed,카롱,30,믹스견,암컷,검정,크림색,없음,중형,단모,완료,완료,완료,전북,3,3,5,3,통통 튀는 걸음걸이가 매력적인 카롱! 멋진 검정 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
fc4d1c61e,캔디,2,믹스견,암컷,갈색,노란색,흰색,중형,단모,완료,미완료,미완료,경남,5,5,3,3,"차분하고 순한 성격의 캔디입니다. 갈색 색상의 믹스견 아이로, 조용히 곁을 지켜주는 든든한 친구예요."
99ed50a86,만두,1,믹스견,수컷,갈색,흰색,없음,중형,중모,미완료,미완료,미완료,경기,3,3,4,3,세상에서 가장 야무진 만두이를 소개합니다. 갈색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
5ab1e209b,치타,3,도베르만 핀셔,수컷,검정,금색,없음,대형,중모,불확실,불확실,미완료,대구,4,4,3,4,치타은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 도베르만 핀셔 아이랍니다. 밝은 에너지가 넘쳐요.
db0213107,다온,2,믹스견,암컷,검정,갈색,금색,중형,중모,완료,완료,미완료,전북,4,3,4,5,다온은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 믹스견 아이랍니다. 밝은 에너지가 넘쳐요.
a970b89c7,구슬,24,골든 리트리버,수컷,갈색,없음,없음,대형,중모,불확실,불확실,불확실,광주,5,3,4,3,세상에서 가장 야무진 구슬이를 소개합니다. 갈색 색상의 골든 리트리버이며 주사도 씩씩하게 잘 맞는 천사예요.
4a6e23ad7,둥실,1,믹스견,암컷,검정,갈색,없음,중형,단모,미완료,완료,미완료,경기,5,4,4,3,표정은 세상 진지한 둥실! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
f7675eb96,푸우,3,믹스견,암컷,갈색,흰색,없음,중형,단모,완료,완료,미완료,경남,3,5,4,5,애교가 철철 넘치는 푸우! 갈색 털이 부드러운 믹스견 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
8010a808c,망고,12,믹스견,암컷,갈색,없음,없음,중형,중모,미완료,미완료,미완료,대구,3,5,3,5,망고은(는) 정말 사랑스러운 믹스견 친구예요. 갈색 털이 매력 포인트이며 누구와도 잘 지내요.
6202e7d4d,앵두,2,믹스견,수컷,검정,갈색,없음,중형,중모,완료,완료,미완료,대구,3,5,5,5,구조 후 잘 적응 중인 앵두! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
42eac4984,푸딩,1,믹스견,암컷,검정,갈색,크림색,중형,중모,미완료,미완료,미완료,경남,3,5,3,3,멋진 포스를 풍기는 푸딩! 하지만 마음은 따뜻한 믹스견 아이랍니다. 검정 털이 아주 부드러워요.
d25ad4b76,티거,16,믹스견,수컷,검정,금색,없음,중형,단모,완료,완료,완료,경북,4,5,5,3,구조 후 잘 적응 중인 티거! 믹스견 특유의 영리함과 검정 털이 돋보입니다. 가족을 기다려요.
1dc90fbb8,별님,2,믹스견,수컷,갈색,없음,없음,중형,중모,완료,완료,미완료,서울,5,4,5,4,세상에서 가장 야무진 별님이를 소개합니다. 갈색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
45f9a9f66,순심,3,로트와일러,암컷,검정,갈색,없음,중형,중모,완료,완료,미완료,경기,3,4,5,3,"이 구역의 최고 귀염둥이 순심! 검정 털을 가진 로트와일러 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
e4fb514b2,지니,13,푸들,수컷,금색,없음,없음,소형,장모,완료,완료,미완료,서울,5,5,3,3,"반짝이는 눈망울을 가진 지니. 금색 색상의 푸들 아이로, 아주 영리하고 배우는 게 빠릅니다."
13c67e713,다섯,12,스피츠,암컷,흰색,없음,없음,소형,장모,불확실,불확실,불확실,전남,3,3,4,4,간식을 기다릴 때 가장 진지한 다섯이에요. 흰색 털의 귀여운 스피츠으로 호기심이 아주 많답니다.
f677061e8,나비,36,잉글리시 코커 스패니얼,암컷,갈색,없음,없음,소형,중모,완료,완료,완료,전북,5,3,5,3,간식을 기다릴 때 가장 진지한 나비이에요. 갈색 털의 귀여운 잉글리시 코커 스패니얼으로 호기심이 아주 많답니다.
c723171ff,사이다,2,믹스견,수컷,갈색,금색,없음,소형,중모,미완료,미완료,미완료,서울,4,3,4,5,통통 튀는 걸음걸이가 매력적인 사이다! 멋진 갈색 색을 가진 믹스견 친구와 평생 가족이 되어주세요.
dfcd19237,여덟,11,비글,암컷,검정,갈색,흰색,중형,단모,완료,완료,불확실,부산,4,3,4,5,애교가 철철 넘치는 여덟! 검정 털이 부드러운 비글 아이입니다. 눈만 마주쳐도 기분이 좋아져요.
5971694db,엘사,4,믹스견,암컷,검정,갈색,흰색,중형,중모,미완료,미완료,미완료,서울,4,4,5,4,"이 구역의 최고 귀염둥이 엘사! 검정 털을 가진 믹스견 아이로, 꼬리를 살랑살랑 흔들며 먼저 다가온답니다."
8b6867433,뭉치,120,미니어처 핀셔,암컷,검정,없음,없음,소형,단모,완료,완료,미완료,경기,3,4,5,3,뭉치은(는) 검정 솜뭉치 같아요! '사회성 만렙'을 담당하는 귀여운 미니어처 핀셔 아이랍니다. 밝은 에너지가 넘쳐요.
eaf13651e,보들,2,믹스견,암컷,검정,갈색,없음,중형,단모,미완료,완료,미완료,부산,3,5,5,3,표정은 세상 진지한 보들! 검정 털이 매력적인 믹스견 친구예요. 호기심도 많고 아주 씩씩하답니다.
386990598,사이다,2,믹스견,암컷,회색,없음,없음,중형,단모,미완료,미완료,미완료,서울,4,4,5,4,"반짝이는 눈망울을 가진 사이다. 회색 색상의 믹스견 아이로, 아주 영리하고 배우는 게 빠릅니다."
f83096577,둥이,2,믹스견,암컷,갈색,없음,없음,중형,중모,완료,완료,미완료,전북,4,5,5,5,세상에서 가장 야무진 둥이이를 소개합니다. 갈색 색상의 믹스견이며 주사도 씩씩하게 잘 맞는 천사예요.
6dbed5324,나뭇잎,24,바셋 하운드,암컷,갈색,크림색,없음,중형,단모,불확실,완료,불확실,충남,3,3,5,3,통통 튀는 걸음걸이가 매력적인 나뭇잎! 멋진 갈색 색을 가진 바셋 하운드 친구와 평생 가족이 되어주세요.
2b5249852,예쁜,3,래브라도 리트리버,암컷,검정,흰색,없음,중형,단모,미완료,미완료,미완료,제주,3,3,3,4,예쁜은(는) 정말 사랑스러운 래브라도 리트리버 친구예요. 검정 털이 매력 포인트이며 누구와도 잘 지내요.
